pFactor,iFactor,dFactor,delay,latency,iLength,dLength,median
0.12,0.45,0.13,0,1,2,2,0.9178780669281821
0.12,0.45,0.14,0,1,2,2,0.6038867047992795
0.12,0.45,0.15,0,1,2,2,0.21915692712077828
0.12,0.45,0.16,0,1,2,2,0.23317565511905514
0.12,0.45,0.17,0,1,2,2,0.2552463930438478
0.12,0.46,0.13,0,1,2,2,0.2893667243892253
0.12,0.46,0.14,0,1,2,2,0.053665139722369304
0.12,0.46,0.15,0,1,2,2,0.3587095360024364
0.12,0.47,0.07,0,1,2,2,0.8762197287769027
0.12,0.47,0.08,0,1,2,2,0.5443128280069232
0.12,0.47,0.12,0,1,2,2,0.9008088250024286
0.12,0.48,0.06,0,1,2,2,0.25908606775303156
0.12,0.48,0.1,0,1,2,2,0.7164202609744024
0.13,0.39,0.44,0,1,2,2,0.469054453522773
0.13,0.39,0.45,0,1,2,2,0.33628444035380767
0.13,0.39,0.46,0,1,2,2,0.0015633906678687026
0.13,0.39,0.47,0,1,2,2,0.024708387416865207
0.13,0.39,0.48,0,1,2,2,0.36444651941741313
0.13,0.39,0.49,0,1,2,2,0.03177798606022009
0.13,0.39,0.5,0,1,2,2,0.6944520939245251
0.13,0.42,0.28,0,1,2,2,0.8327100351471586
0.13,0.43,0.18,0,1,2,2,0.9366805644241509
0.13,0.43,0.19,0,1,2,2,0.9717308162082361
0.13,0.43,0.2,0,1,2,2,0.6981437683410547
0.13,0.43,0.21,0,1,2,2,0.42776104336239484
0.13,0.43,0.22,0,1,2,2,0.3867576303871658
0.13,0.43,0.23,0,1,2,2,0.06735736286796623
0.13,0.43,0.24,0,1,2,2,0.7848983723390575
0.13,0.43,0.26,0,1,2,2,0.5489109343632208
0.13,0.43,0.27,0,1,2,2,0.5007464594128805
0.13,0.43,0.28,0,1,2,2,0.5541139807596807
0.13,0.43,0.29,0,1,2,2,0.9396740581348126
0.13,0.44,0.16,0,1,2,2,0.8120517939098022
0.13,0.44,0.17,0,1,2,2,0.585573872748796
0.13,0.44,0.18,0,1,2,2,0.17672476806424697
0.13,0.44,0.19,0,1,2,2,0.3106002023939425
0.13,0.44,0.2,0,1,2,2,0.8680757702211963
0.13,0.45,0.13,0,1,2,2,0.8600038626873641
0.13,0.45,0.17,0,1,2,2,0.23014620116570939
0.13,0.45,0.18,0,1,2,2,0.6225966961124811
0.13,0.45,0.19,0,1,2,2,0.956988951454619
0.13,0.46,0.11,0,1,2,2,0.6372564756559029
0.13,0.46,0.12,0,1,2,2,0.15194681837297708
0.13,0.47,0.1,0,1,2,2,0.4429465522098326
0.13,0.47,0.14,0,1,2,2,0.16271178870260883
0.13,0.5,0.03,0,1,2,2,0.17303108399505618
0.14,0.38,0.48,0,1,2,2,0.10542793950600071
0.14,0.38,0.49,0,1,2,2,0.06631572100700112
0.14,0.38,0.5,0,1,2,2,0.559130347117275
0.14,0.41,0.3,0,1,2,2,0.762285113521358
0.14,0.41,0.32,0,1,2,2,0.4243763815403554
0.14,0.42,0.21,0,1,2,2,0.9114524864395435
0.14,0.42,0.22,0,1,2,2,0.616263186759241
0.14,0.42,0.23,0,1,2,2,0.6730017056225392
0.14,0.42,0.24,0,1,2,2,0.32287267071811243
0.14,0.42,0.25,0,1,2,2,0.07798870732347041
0.14,0.42,0.26,0,1,2,2,0.17212013578998153
0.14,0.42,0.27,0,1,2,2,0.7228054420875765
0.14,0.42,0.31,0,1,2,2,0.005588023722552293
0.14,0.42,0.32,0,1,2,2,0.33259196156018334
0.14,0.43,0.19,0,1,2,2,0.9282307431834909
0.14,0.43,0.2,0,1,2,2,0.534876393986508
0.14,0.43,0.21,0,1,2,2,0.11582590473264531
0.14,0.43,0.22,0,1,2,2,0.41329511327909074
0.14,0.43,0.36,0,1,2,2,0.5835623810378223
0.14,0.44,0.17,0,1,2,2,0.5920828566791272
0.14,0.44,0.18,0,1,2,2,0.873787813018069
0.14,0.44,0.2,0,1,2,2,0.9721714747506525
